Title,Ingredients,Preparation,Benefits,Category
Turmeric Paste,,"
- Mix turmeric powder with water to make a thick paste Apply to your toothbrush and gently brush your teeth for about  minutes Rinse thoroughly Do this two to three times a weekHealth Benefits: Mild abrasive action helps remove stains, making teeth look whiter, curcumin has medicinal and pharmacological properties beneficial for oral health","
- Mild abrasive action helps remove stains
- making teeth look whiter
- curcumin has medicinal and pharmacological properties beneficial for oral health Mild abrasive action helps remove stains
- making teeth look whiter
- curcumin has medicinal and pharmacological properties beneficial for oral health",Oral Hygiene
Turmeric and Coconut Oil Paste Oil,"
- A teaspoon of coconut oil
- some turmeric powderPreparation: Mix coconut oil and turmeric Swish it around in your Untitled  mouth for  to  minutes Spit out and rinse your mouthHealth Benefits: Whitens teeth
- detoxifies the mouth by pulling harmful bacteria
- coconut oil (lauric acid) reduces bad bacteria
- provides whitening and oral detoxSource ""Top  Health Benefits of Consuming Turmeric | Healthy Tips | Boost Immunity with Turmeric""","
- Mix coconut oil and turmeric Swish it around in your Untitled  mouth for  to  minutes Spit out and rinse your mouth","
- Whitens teeth
- detoxifies the mouth by pulling harmful bacteria
- coconut oil (lauric acid) reduces bad bacteria
- provides whitening and oral detoxSource ""Top  Health Benefits of Consuming Turmeric | Healthy Tips | Boost Immunity with Turmeric"" Mix coconut oil and turmeric Swish it around in your Untitled  mouth for  to  minutes Spit out and rinse your mouthHealth Benefits: Whitens teeth
- detoxifies the mouth by pulling harmful bacteria
- coconut oil (lauric acid) reduces bad bacteria
- provides whitening and oral detoxSource ""Top  Health Benefits of Consuming Turmeric | Healthy Tips | Boost Immunity with Turmeric"" Whitens teeth
- detoxifies the mouth by pulling harmful bacteria
- coconut oil (lauric acid) reduces bad bacteria
- provides whitening and oral detoxSource ""Top  Health Benefits of Consuming Turmeric | Healthy Tips | Boost Immunity with Turmeric""",Oral Hygiene
Warm Water or Herbal Tea,"
- A glass of warm water or herbal tea
- a pinch of turmericPreparation: Add a pinch of turmeric to warm water or herbal tea and drink every morningHealth Benefits: Helps fight depression
- protects against viruses
- aids in the development of the immune system","
- Add a pinch of turmeric to warm water or herbal tea and drink every morning","
- Helps fight depression
- protects against viruses
- aids in the development of the immune system Add a pinch of turmeric to warm water or herbal tea and drink every morningHealth Benefits: Helps fight depression
- protects against viruses
- aids in the development of the immune system Helps fight depression
- protects against viruses
- aids in the development of the immune system",Immunity
Warm,"
- Warm milk
- turmericPreparation: Drink a glass of warm turmeric milk at nightHealth Benefits: Boosts the immune system","
- Drink a glass of warm turmeric milk at night","
- Boosts the immune system Drink a glass of warm turmeric milk at nightHealth Benefits: Boosts the immune system Boosts the immune system",Immunity
"Honey, Turmeric, Black Pepper, Ginger","
- One teaspoon full of honey
- a pinch of turmeric
- a pinch of black pepper
- grated ginger or ginger powder (sooth)Preparation: Mix all ingredients and have this anytime in a dayHealth Benefits: Boosts immunity","
- Mix all ingredients and have this anytime in a day","
- Boosts immunity Mix all ingredients and have this anytime in a dayHealth Benefits: Boosts immunity Boosts immunity",Immunity
Milk and Turmeric for Dark Circles,,"
- Apply underneath eyes, keep for  minutes, and wash outHealth Benefits: Helps remove dark circles","
- Helps remove dark circles Helps remove dark circles",Skin Care
Curd and Turmeric Face Pack,,"
- Mix curd and turmeric well and apply it on the face Once it dries off after  minutes, wash it with warm waterHealth Benefits: Helps remove dark spots and bring out skin's natural glowSource ""Top  Natural Remedies to Reduce Cough and Cold in One Day | Health Tips | Easy Home Remedies""","
- Helps remove dark spots and bring out skin's natural glowSource ""Top  Natural Remedies to Reduce Cough and Cold in One Day | Health Tips | Easy Home Remedies"" Helps remove dark spots and bring out skin's natural glowSource ""Top  Natural Remedies to Reduce Cough and Cold in One Day | Health Tips | Easy Home Remedies""",Skin Care
Kadha Herbal,"
- Half teaspoon grated ginger
- two to three hand- crushed Tulsi leaves
- a pinch of cinnamon powder
- a pinch of black pepper powder
- one and a half cups of water
- optional honeyPreparation: Boil all ingredients in water for  to  minutes Strain the kada and drink it warm Add honey if desired Drink two to three times a dayHealth Benefits: Boosts the immune system and reduces cold and cough symptoms Tulsi
- ginger
- and turmeric are antiviral and help keep diseases at bay","
- Boil all ingredients in water for  to  minutes Strain the kada and drink it warm Add honey if desired Drink two to three times a day","
- Boosts the immune system and reduces cold and cough symptoms Tulsi
- ginger
- and turmeric are antiviral and help keep diseases at bay Boil all ingredients in water for  to  minutes Strain the kada and drink it warm Add honey if desired Drink two to three times a dayHealth Benefits: Boosts the immune system and reduces cold and cough symptoms Tulsi
- ginger
- and turmeric are antiviral and help keep diseases at bay Boosts the immune system and reduces cold and cough symptoms Tulsi
- ginger
- and turmeric are antiviral and help keep diseases at bay",Immunity
Salt Water,"
- A teaspoon of salt
- a glass of warm waterPreparation: Mix salt in warm water Gargle with it for  seconds and spit it out Do this several times a dayHealth Benefits: Soothes a sore throat and reduces inflammation","
- Mix salt in warm water Gargle with it for  seconds and spit it out Do this several times a day","
- Soothes a sore throat and reduces inflammation Mix salt in warm water Gargle with it for  seconds and spit it out Do this several times a dayHealth Benefits: Soothes a sore throat and reduces inflammation Soothes a sore throat and reduces inflammation",General Wellness
Warm Water with,"
- Warm water
- a few drops of lemon Untitled  juicePreparation: Squeeze lemon juice into warm water and drink throughout the dayHealth Benefits: Flushes out toxins and boosts the immune system
- reduces inflammationSource ""Top  Benefits of Sesame Seed as You Get Older |  Sesame Anti Ageing Healthy Recipe""","
- Squeeze lemon juice into warm water and drink throughout the day","
- Flushes out toxins and boosts the immune system
- reduces inflammationSource ""Top  Benefits of Sesame Seed as You Get Older |  Sesame Anti Ageing Healthy Recipe"" Squeeze lemon juice into warm water and drink throughout the dayHealth Benefits: Flushes out toxins and boosts the immune system
- reduces inflammationSource ""Top  Benefits of Sesame Seed as You Get Older |  Sesame Anti Ageing Healthy Recipe"" Flushes out toxins and boosts the immune system
- reduces inflammationSource ""Top  Benefits of Sesame Seed as You Get Older |  Sesame Anti Ageing Healthy Recipe""",Immunity
Sesame Thill),"
- cup sesame seeds
- cup deseeded dates
- half cup milk
- teaspoon gheePreparation: Roast sesame seeds on slow fire until light brown Blend date and milk to make a thick paste Mix sesame seeds
- date paste
- and ghee Roll small portions into round ballsHealth Benefits: Rejuvenating
- makes person physically stronger (calcium for bones
- muscles
- joints)
- good source of plant-based protein","
- Roast sesame seeds on slow fire until light brown Blend date and milk to make a thick paste Mix sesame seeds, date paste, and ghee Roll small portions into round balls","
- Rejuvenating
- makes person physically stronger (calcium for bones
- muscles
- joints)
- good source of plant-based protein Roast sesame seeds on slow fire until light brown Blend date and milk to make a thick paste Mix sesame seeds
- date paste
- and ghee Roll small portions into round ballsHealth Benefits: Rejuvenating
- makes person physically stronger (calcium for bones
- muscles
- joints)
- good source of plant-based protein Rejuvenating
- makes person physically stronger (calcium for bones
- muscles
- joints)
- good source of plant-based protein",General Wellness
Sesame,"
- cup oat flour
- half cup sesame seed paste
- half cup jaggery powder
- teaspoon baking powder
- half cup curd
- teaspoon honey
- little salt to taste
- milk as requiredPreparation: Roast oats flour slightly In a mixing bowl
- add oats flour
- sesame seed paste
- jaggery powder
- baking powder
- curd
- and salt Add milk to make a pancake batter consistency Heat a pan
- brush with oil
- pour a little batter at a time
- and make pancakes on low flame Drizzle honey while eatingHealth Benefits: Nutritious and energy- providing","
- Roast oats flour slightly In a mixing bowl, add oats flour, sesame seed paste, jaggery powder, baking powder, curd, and salt Add milk to make a pancake batter consistency Heat a pan, brush with oil, pour a little batter at a time, and make pancakes on low flame Drizzle honey while eating","
- Nutritious and energy- providing Roast oats flour slightly In a mixing bowl
- add oats flour
- sesame seed paste
- jaggery powder
- baking powder
- curd
- and salt Add milk to make a pancake batter consistency Heat a pan
- brush with oil
- pour a little batter at a time
- and make pancakes on low flame Drizzle honey while eatingHealth Benefits: Nutritious and energy- providing Nutritious and energy- providing",General Wellness
Sesame Seed Chutney,,"
- Place sesame seeds and coconut in a blender Mix roasted peanut and tamarind, red bell pepper, and salt Blend all ingredients into a smooth and fine consistencyHealth Benefits: Provides various nutrientsSource ""Top  Effective Home Remedies for Loose Motions | Simple Solutions for Diarrhea Relief | Dr.
- Hansaji""","
- Provides various nutrientsSource ""Top  Effective Home Remedies for Loose Motions | Simple Solutions for Diarrhea Relief | Dr
- Hansaji"" Provides various nutrientsSource ""Top  Effective Home Remedies for Loose Motions | Simple Solutions for Diarrhea Relief | Dr
- Hansaji""",General Wellness
Black Seeds Kalonji) Oil with,"
- Half teaspoon of black seed oil
- a teaspoon of honeyPreparation: Mix black seed oil with honey and consume it twice a dayHealth Benefits: Has antimicrobial and anti-inflammatory properties
- soothes the digestive system
- and promotes healing","
- Mix black seed oil with honey and consume it twice a day","
- Has antimicrobial and anti-inflammatory properties
- soothes the digestive system
- and promotes healing Mix black seed oil with honey and consume it twice a dayHealth Benefits: Has antimicrobial and anti-inflammatory properties
- soothes the digestive system
- and promotes healing Has antimicrobial and anti-inflammatory properties
- soothes the digestive system
- and promotes healing",Immunity
Musta,"
- One teaspoon full of musta powder
- a glass of warm waterPreparation: Mix musta powder with warm water and consume twice a dayHealth Benefits: Has anti-diarrheal properties
- helps reduce loose motion
- and restores balance in the digestive system","
- Mix musta powder with warm water and consume twice a day","
- Has anti-diarrheal properties
- helps reduce loose motion
- and restores balance in the digestive system Mix musta powder with warm water and consume twice a dayHealth Benefits: Has anti-diarrheal properties
- helps reduce loose motion
- and restores balance in the digestive system Has anti-diarrheal properties
- helps reduce loose motion
- and restores balance in the digestive system",General Wellness
Buttermilk,"
- A glass of buttermilk
- a teaspoon full of fenugreek seedsPreparation: Add fenugreek seeds to buttermilk and let it sit for a few hours Drink this mixture a few times a dayHealth Untitled  Benefits: Buttermilk (probiotic-rich) restores the balance of gut bacteria Fenugreek seeds help regulate bowel movements","
- Add fenugreek seeds to buttermilk and let it sit for a few hours Drink this mixture a few times a day","
- ",General Wellness
Remedy: PomegranatePreparation: Eat one pomegranate daily until,"
- PomegranatePreparation: Eat one pomegranate daily until symptoms reduceHealth Benefits: Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion","
- Eat one pomegranate daily until symptoms reduce","
- Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion Eat one pomegranate daily until symptoms reduceHealth Benefits: Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion",General Wellness
Rice Water,,"
- Collect the leftover water after cooking rice, allow it to cool, strain it, and drink it throughout the dayHealth Benefits: Helps bind the stool and provides relief from loose motion","
- Helps bind the stool and provides relief from loose motion Helps bind the stool and provides relief from loose motion",General Wellness
Homemade Oral,"
- One liter of boiled clean water
- to  teaspoon full of salt
- to  teaspoon full of sugar
- optional lemonPreparation: Add salt and sugar to boiled and cleaned water Sip this liquid throughout the day Add some lemon for extra benefitHealth Benefits: Replenishes lost fluids and electrolytes
- preventing dehydrationSource..: ""Top remedies for headaches | Dr. Hansaji Yogendra""","
- Add salt and sugar to boiled and cleaned water Sip this liquid throughout the day Add some lemon for extra benefit","
- Replenishes lost fluids and electrolytes
- preventing dehydrationSource
- : ""Top remedies for headaches | Dr
- Hansaji Yogendra"" Add salt and sugar to boiled and cleaned water Sip this liquid throughout the day Add some lemon for extra benefitHealth Benefits: Replenishes lost fluids and electrolytes
- preventing dehydrationSource
- : ""Top remedies for headaches | Dr
- Hansaji Yogendra"" Replenishes lost fluids and electrolytes
- preventing dehydrationSource
- : ""Top remedies for headaches | Dr
- Hansaji Yogendra""",Oral Hygiene
Ginger Green Tea,,"
- Prepare a warm ginger green tea...Health Benefits: Ginger helps ease nausea associated with severe migraine and may ease migraine severity...","
- Ginger helps ease nausea associated with severe migraine and may ease migraine severity
- Ginger helps ease nausea associated with severe migraine and may ease migraine severity",General Wellness
Kapala Randhra Dhouti Facial and Head,,"
- Rub your forehead with fingers  times Press eyebrows from center to end until pain disappears Move hand around cheeks in and out Move hands around ears in and out Move fingers into hair and pull hair gentlyHealth Benefits: Activates facial nerves and supplies proper blood to the brain, relieving headaches...Source ""Yogic Home Remedies for Sore Throat | Dr.
- Hansaji Yogendra""","
- Activates facial nerves and supplies proper blood to the brain
- relieving headaches
- Source ""Yogic Home Remedies for Sore Throat | Dr
- Hansaji Yogendra"" Activates facial nerves and supplies proper blood to the brain
- relieving headaches
- Source ""Yogic Home Remedies for Sore Throat | Dr
- Hansaji Yogendra""",General Wellness
Tulsi Holy Basil),"
- Tulsi leavesPreparation: Chew a few Tulsi leaves  times a dayHealth Benefits: Amazing herb with expectorant properties
- helps relieve sore throat","
- Chew a few Tulsi leaves  times a day","
- Amazing herb with expectorant properties
- helps relieve sore throat Chew a few Tulsi leaves  times a dayHealth Benefits: Amazing herb with expectorant properties
- helps relieve sore throat Amazing herb with expectorant properties
- helps relieve sore throat",General Wellness
Giloy Guduchi),,"
- Consume a small piece of Giloy stem or Giloy powder mixed with waterHealth Benefits: Excellent anti-inflammatory properties, helps in sore throat","
- Excellent anti-inflammatory properties
- helps in sore throat Excellent anti-inflammatory properties
- helps in sore throat",Immunity
Gargling with Warm Salt,"
- Warm water
- saltPreparation: Add a little salt to warm water and gargle  times a dayHealth Benefits: Very effective home remedy for sore throat","
- Add a little salt to warm water and gargle  times a day","
- Very effective home remedy for sore throat Add a little salt to warm water and gargle  times a dayHealth Benefits: Very effective home remedy for sore throat Very effective home remedy for sore throat",General Wellness
Mulethi Licorice),,"
- Chew on a piece of Mulethi stick or mix Mulethi powder with honeyHealth Benefits: Soothes the throat and reduces Untitled  inflammation","
- Soothes the throat and reduces Untitled  inflammation Soothes the throat and reduces Untitled  inflammation",General Wellness
Garlic,,"
- Chew one raw garlic clove once or twice a day, or suck on it for  minutes Can put a few drops of honey on it if too pungentHealth Benefits: Possesses antibacterial, antifungal, and antiviral properties, provides relief from sore throat","
- Possesses antibacterial
- antifungal
- and antiviral properties
- provides relief from sore throat Possesses antibacterial
- antifungal
- and antiviral properties
- provides relief from sore throat",General Wellness
Remedy: HoneyPreparation: Put a few drops of honey in the mouth,"
- HoneyPreparation: Put a few drops of honey in the mouth and swallow slowlyHealth Benefits: Excellent source for sore throat
- very soothing","
- Put a few drops of honey in the mouth and swallow slowly","
- Excellent source for sore throat
- very soothing Put a few drops of honey in the mouth and swallow slowlyHealth Benefits: Excellent source for sore throat
- very soothing Excellent source for sore throat
- very soothing",General Wellness
Warm Liquids,"
- Honey. Preparation: Put a few drops of honey in the mouth and swallow slowly. Untitled  Health Benefits: Excellent source for sore throat
- very soothing. Remedy  Garlic Ingredients: Garlic clove. Preparation: Chew one raw garlic clove once or twice a day
- or suck on it for  minutes. Can put a few drops of honey on it if too pungent. Health Benefits: Possesses antibacterial
- antifungal
- and antiviral properties
- provides relief from sore throat. Remedy  Mulethi Licorice) Ingredients: Mulethi (licorice) stick or powder. Preparation: Chew on a piece of Mulethi stick or mix Mulethi powder with honey. Health Benefits: Soothes the throat and reduces inflammation. Remedy  Gargling with Warm Salt Water Ingredients: Warm water
- salt. Preparation: Add a little salt to warm water and gargle  times a day. Health Benefits: Very effective home remedy for sore throat. Remedy  Giloy Guduchi) Ingredients: Giloy stem or powder. Preparation: Consume a small piece of Giloy stem or Giloy powder mixed with water. Health Benefits: Excellent anti-inflammatory properties
- helps in sore throat. Remedy  Tulsi Holy Basil) Leaves Ingredients: Tulsi leaves. Preparation: Chew a few Tulsi leaves  times a day. Health Benefits: Amazing herb with expectorant properties
- helps relieve sore throat. Untitled  Source: ""Yogic Home Remedies for Sore Throat | Dr. Hansaji Yogendra"" Remedy  Kapala Randhra Dhouti Facial and Head Massage) Preparation: Rub your forehead with fingers  times. Press eyebrows from center to end until pain disappears. Move hand around cheeks in and out. Move hands around ears in and out. Move fingers into hair and pull hair gently. Health Benefits: Activates facial nerves and supplies proper blood to the brain
- relieving headaches. Remedy  Ginger Green Tea Ingredients: Ginger powder
- green tea
- warm water. Preparation: Prepare a warm ginger green tea. Health Benefits: Ginger helps ease nausea associated with severe migraine and may ease migraine severity. Source: ""Top remedies for headaches | Dr. Hansaji Yogendra"" Remedy  Homemade Oral Rehydrating Solution (for Dehydration due to Loose Motion) Ingredients: One liter of boiled clean water
- to  teaspoon full of salt
- to  teaspoon full of sugar
- optional lemon. Preparation: Add salt and sugar to boiled and cleaned water. Sip this liquid throughout the day. Add some lemon for extra benefit. Health Benefits: Replenishes lost fluids and electrolytes
- preventing dehydration. Remedy  Rice Water Ingredients: Leftover water after cooking rice. Preparation: Collect the leftover water after cooking rice
- allow it to cool
- strain it
- and drink it throughout the day. Health Benefits: Helps bind the stool and provides relief from loose motion. Remedy  Pomegranate Untitled  Ingredients: Pomegranate. Preparation: Eat one pomegranate daily until symptoms reduce. Health Benefits: Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion. Remedy  Buttermilk and Fenugreek Seeds Ingredients: A glass of buttermilk
- a teaspoon full of fenugreek seeds. Preparation: Add fenugreek seeds to buttermilk and let it sit for a few hours. Drink this mixture a few times a day. Health Benefits: Buttermilk (probiotic-rich) restores the balance of gut bacteria. Fenugreek seeds help regulate bowel movements. Remedy  Musta Nagarmotha) Powder Ingredients: One teaspoon full of musta powder
- a glass of warm water. Preparation: Mix musta powder with warm water and consume twice a day. Health Benefits: Has anti-diarrheal properties
- helps reduce loose motion
- and restores balance in the digestive system. Remedy  Black Seeds Kalonji) Oil with Honey Ingredients: Half teaspoon of black seed oil
- a teaspoon of honey. Preparation: Mix black seed oil with honey and consume it twice a day. Health Benefits: Has antimicrobial and anti-inflammatory properties
- soothes the digestive system
- and promotes healing. Source: ""Top  Effective Home Remedies for Loose Motions | Simple Solutions for Diarrhea Relief | Dr. Hansaji"" Remedy  Sesame Seed Chutney Ingredients:  tbsp roasted sesame seeds
- tbsp peanuts
- half cup grated fresh coconut
- cup chopped red bell pepper
- tablespoon tamarind
- salt to taste. Untitled  Preparation: Place sesame seeds and coconut in a blender. Mix roasted peanut and tamarind
- red bell pepper
- and salt. Blend all ingredients into a smooth and fine consistency. Health Benefits: Provides various nutrients. Remedy  Sesame Pancake Ingredients:  cup oat flour
- half cup sesame seed paste
- half cup jaggery powder
- teaspoon baking powder
- half cup curd
- teaspoon honey
- little salt to taste
- milk as required. Preparation: Roast oats flour slightly. In a mixing bowl
- add oats flour
- sesame seed paste
- jaggery powder
- baking powder
- curd
- and salt. Add milk to make a pancake batter consistency. Heat a pan
- brush with oil
- pour a little batter at a time
- and make pancakes on low flame. Drizzle honey while eating. Health Benefits: Nutritious and energy-providing. Remedy  Sesame Thill) Ladoo Ingredients:  cup sesame seeds
- cup deseeded dates
- half cup milk
- teaspoon ghee. Preparation: Roast sesame seeds on slow fire until light brown. Blend date and milk to make a thick paste. Mix sesame seeds
- date paste
- and ghee. Roll small portions into round balls. Health Benefits: Rejuvenating
- makes person physically stronger (calcium for bones
- muscles
- joints)
- good source of plant-based protein. Source: ""Top  Benefits of Sesame Seed as You Get Older |  Sesame Anti Ageing Healthy Recipe"" Remedy  Warm Water with Lemon Ingredients: Warm water
- a few drops of lemon juice. Preparation: Squeeze lemon juice into warm water and drink throughout the day. Health Benefits: Flushes out toxins and boosts the immune system
- reduces inflammation. Untitled  Remedy  Salt Water Gargle Ingredients: A teaspoon of salt
- a glass of warm water. Preparation: Mix salt in warm water. Gargle with it for  seconds and spit it out. Do this several times a day. Health Benefits: Soothes a sore throat and reduces inflammation. Remedy  Kadha Herbal Concoction) Ingredients: Half teaspoon grated ginger
- two to three hand-crushed Tulsi leaves
- a pinch of cinnamon powder
- a pinch of black pepper powder
- one and a half cups of water
- optional honey. Preparation: Boil all ingredients in water for  to  minutes. Strain the kada and drink it warm. Add honey if desired. Drink two to three times a day. Health Benefits: Boosts the immune system and reduces cold and cough symptoms. Tulsi
- ginger
- and turmeric are antiviral and help keep diseases at bay. Source: ""Top  Natural Remedies to Reduce Cough and Cold in One Day | Health Tips | Easy Home Remedies"" Remedy  Curd and Turmeric Face Pack Ingredients: Two spoons of curd
- a pinch of turmeric. Preparation: Mix curd and turmeric well and apply it on the face. Once it dries off after  minutes
- wash it with warm water. Health Benefits: Helps remove dark spots and bring out skin's natural glow. Remedy  Milk and Turmeric for Dark Circles Ingredients: A spoon of milk
- a pinch of turmeric. Preparation: Apply underneath eyes
- keep for  minutes
- and wash out. Health Benefits: Helps remove dark circles. Remedy  Honey
- Turmeric
- Black Pepper
- Ginger Mixture Untitled  Ingredients: One teaspoon full of honey
- a pinch of turmeric
- a pinch of black pepper
- grated ginger or ginger powder (sooth). Preparation: Mix all ingredients and have this anytime in a day. Health Benefits: Boosts immunity. Remedy  Warm Turmeric Milk Ingredients: Warm milk
- turmeric. Preparation: Drink a glass of warm turmeric milk at night. Health Benefits: Boosts the immune system. Remedy  Warm Water or Herbal Tea with Turmeric Ingredients: A glass of warm water or herbal tea
- a pinch of turmeric. Preparation: Add a pinch of turmeric to warm water or herbal tea and drink every morning. Health Benefits: Helps fight depression
- protects against viruses
- aids in the development of the immune system. Source: ""Top  Health Benefits of Consuming Turmeric | Healthy Tips | Boost Immunity with Turmeric"" Remedy  Turmeric and Coconut Oil Paste Oil Pulling) Ingredients: A teaspoon of coconut oil
- some turmeric powder. Preparation: Mix coconut oil and turmeric. Swish it around in your mouth for  to  minutes. Spit out and rinse your mouth. Health Benefits: Whitens teeth
- detoxifies the mouth by pulling harmful bacteria
- coconut oil (lauric acid) reduces bad bacteria
- provides whitening and oral detox. Remedy  Turmeric Paste Ingredients: Half a teaspoon of turmeric powder
- a few drops of water. Preparation: Mix turmeric powder with water to make a thick paste. Apply to your toothbrush and gently brush your teeth for about  minutes. Rinse thoroughly. Do this two to three times a week. Untitled  Health Benefits: Mild abrasive action helps remove stains
- making teeth look whiter
- curcumin has medicinal and pharmacological properties beneficial for oral health. Source: ""Teeth Whitening at Home| Ayurvedic Turmeric/Haldi Remedy for Brighter Teeth| Natural Oral Care Tips"" Remedy  Water Boiled with Neem Leaves Hair Rinse Ingredients: Water
- neem leaves. Preparation: Boil neem leaves in water and use this water to wash hair. Health Benefits: Prevents infection and dandruff
- aiding in preventing hair loss. Remedy  Buttermilk or Curd Hair Rinse Ingredients: Buttermilk or curd. Preparation: Pour buttermilk or curd on the scalp and take a bath. Health Benefits: Helps in removing dandruff. Remedy  Curry Leaves and Coconut Oil Ingredients: Curry leaves
- coconut oil. Preparation: Roast curry leaves and put them in coconut oil. Boil until the oil becomes dark black in color. Let it cool down and strain. Apply this oil on the hair and scalp nicely and keep it overnight. Wash with a simple natural shampoo. Health Benefits: Promotes natural hair growth and brings bounce to hair. Remedy  Aloe Vera Gel Ingredients: Aloe vera gel. Preparation: Extract gel from aloe vera and apply directly on the scalp. Keep it in and then wash. Health Benefits: Helps in strengthening hair roots
- reduces dandruff
- and works like a conditioner
- supporting hair growth and preventing hair loss. Remedy  Amla Powder or Lemon Juice Paste Untitled  Ingredients: Amla powder or lemon juice
- water. Preparation: Mix amla powder or lemon juice with water to make a paste. Apply the paste on the scalp all over. Keep it dry for some time and then rinse with water. Health Benefits: Vitamin C in amla and lemon helps in strengthening hair follicles and preventing hair loss. Source: ""Simple home remedies to prevent hair loss | Dr. Hansaji Yogendra"" Remedy  Alum Fitkari) for Body Odor Ingredients: Alum (fitkari) powder. Preparation: Take a small piece of alum
- wet it
- and rub it under your armpits after a bath. Health Benefits: Alum has excellent antiseptic and astringent properties
- which help control bacteria. Remedy  Lemon Juice for Body Odor Ingredients: Lemon juice. Preparation: Rub lemon juice on your armpits and feet after a bath. Allow it to dry before wearing clothes. Health Benefits: Lemon juice kills bacteria and provides a fresh feel. Source: ""Natural home remedies for body odour | Dr. Hansaji Yogendra"" Remedy  Cooling Cucumber and Yogurt Body Mask for Sun Tan Ingredients: Cucumber slices
- yogurt. Preparation: Blend cucumber slices with yogurt to form a smooth paste. Apply the mixture to the entire body and leave it on for  minutes. Rinse off with cool water. Health Benefits: Cucumber has cooling properties that soothe sunburned skin. Yogurt contains lactic acid which can exfoliate dead skin cells. Helps remove sun tan. Remedy  Lemon and Honey Mask for Sun Tan Untitled  Ingredients: Equal parts of honey and lemon juice. Preparation: Mix honey and lemon juice to form a paste. Apply to the affected area and leave it on for  to  minutes. Rinse off with lukewarm water. Health Benefits: Lemon juice (citric acid) is a natural bleaching agent. Honey has moisturizing and anti-inflammatory properties that soothe the skin. Helps remove sun tan. Source: ""Natural Remedies to Remove Sun Tan | Get Rid of Sun Tan & Keep Skin Glowing | Dr. Hansaji"" Remedy  Kapala Randhra Dhouti Facial Cleansing) Preparation: Stand or sit erect comfortably. Using one or both hands
- rub your forehead horizontally with fingertips from one side to the other. Place index or middle finger at the bridge of nose near inner eye and move them down under the eye outwards towards temple. Rub index finger from front of the ear to the back a couple of times. Maintain deep or moderate pressure throughout the movement. For acne
- pimple
- or dry skin
- avoid rubbing; simply go over the area with pressure and release. For very dry skin
- apply a little cream or facial oil before practice. Health Benefits: Internally cleanses the face/head region through external practice
- stimulates facial nerves and improves blood circulation to the face
- cleanses sinuses
- relieves mild headache and reduces migraine
- aids in prevention of dizziness
- calms the mind and promotes clarity of thoughts
- calms nervous system and reduces depression. Remedy  Jala Neti Nasal Cleansing) Ingredients: A cup of boiled and cooled water (little warmer than body temperature)
- a pinch of salt (to taste like tears). Preparation: Wash hands
- stand comfortably
- cup the right palm and pour water into it. Hold palm near face
- close left nostril with left index finger
- bend forward
- and dip right nostril into the cupped palm. Inhale deeply so water is sniffed into the nostril. Immediately bend head forward and water will flow out from mouth and nose. Repeat with the other side. Untitled  Health Benefits: Cleanses nasal passage and drains sinus cavities
- allowing easy airflow
- removes dirt and bacteria-filled mucus
- reduces allergies or rhinitis
- helps prevent tinnitus and middle ear infection
- cleanses eye ducts and improves vision
- reduces frequency of sinusitis and migraine attacks. Source: ""How to Treat Sinus/Mucous/Phlegm at Home? Natural Home Remedies | Yoga"" Remedy  Ashwagandha Tea Ingredients: One spoon of ashwagandha powder or a few dried roots
- water
- optional teaspoon of honey and squeeze of lemon. Preparation: Boil ashwagandha powder or dried roots in water for  to  minutes. Put the lid and let it simmer on slow gas. Strain the decoction into a cup. Add honey and lemon for better taste if desired. Health Benefits: Helps restore lost melanin and prevent premature graying of hair
- contains tyrosine which helps in melanin formation
- reduces cortisol levels preventing follicle damage and hair loss. Remedy  Bhringraj and Amla Oil Ingredients: Some amla oil
- bringraj oil. Preparation: Mix some amla oil with bringraj oil. Massage it on your scalp before going to bed and rinse it the next morning. Health Benefits: Preserves hair's natural color and prevents premature graying
- may make hair appear less gray
- provides deep conditioning and brings out natural shine
- stimulates hair growth and improves hair quality
- purifies blood and retains natural hair color. Remedy  Hibiscus Yogurt Pack Ingredients: Four tablespoons full of yogurt
- ¼ cup hibiscus powder. Preparation: Mix yogurt and hibiscus powder well to make a paste. Apply it to dry hair and scalp. Allow it to stay for  to  minutes and then wash it with lukewarm water. Health Benefits: Prevents premature graying of hair. Untitled  Source: ""How to Reverse Greying of Hair Naturally?  Best Home Remedies For Premature Greying Hairs"" The source emphasizes lifestyle management rather than specific homemade remedies but mentions drinking warm water and fresh juices
- buttermilk
- and warm soups as helpful for maintaining a well-moisturized digestive system and preventing constipation. It also highlights the importance of a diet rich in fiber
- fresh leafy vegetables
- and fruits. Source: ""How to Cure Constipation Naturally ?  Simple Ways to Get Rid of Constipation"" Remedy: Shankha Prakshalana Intestinal Cleansing) Ingredients:  liters (approximately  glasses) of boiled and cooled water
- salt (to taste like tears)
- ghee
- yellow moong lentil (moong dal)
- rice
- turmeric. Preparation: Boil water and add salt
- cool to body temperature. Drink  glasses of this water in the morning. Perform a sequence of six asanas Tadasana
- Tiryak Tadasana
- Kati Chakrasana
- Tiryak Bhujangasana
