title,description,ingredients,preparation,health_benefits,category,image_url,rating
 Warm Water or Herbal Tea,,"A glass of warm water or herbal tea, a pinch of turmeric40.◦Preparation: Add a pinch of turmeric to warm water or herbal tea and drink every morning40.◦Health Benefits: Helps fight depression, protects against viruses, aids in the development of the immune system40.","Add a pinch of turmeric to warm water or herbal tea and drink every morning40.◦Health Benefits: Helps fight depression, protects against viruses, aids in the development of the immune system40.","Helps fight depression, protects against viruses, aids in the development of the immune system40.",General,,
 Warm,,"Warm milk, turmeric40.◦Preparation: Drink a glass of warm turmeric milk at night40.◦Health Benefits: Boosts the immune system40.",Drink a glass of warm turmeric milk at night40.◦Health Benefits: Boosts the immune system40.,Boosts the immune system40.,General,,
" Honey, Turmeric, Black Pepper, Ginger",,"One teaspoon full of honey, a pinch of turmeric, a pinch of black pepper, grated ginger or ginger powder (sooth)40.◦Preparation: Mix all ingredients and have this anytime in a day40.◦Health Benefits: Boosts immunity40.",Mix all ingredients and have this anytime in a day40.◦Health Benefits: Boosts immunity40.,Boosts immunity40.,General,,
 Milk and Turmeric for Dark Circles◦Ingredients: A,,,"Apply underneath eyes, keep for 10 minutes, and wash out40.◦Health Benefits: Helps remove dark circles40.",Helps remove dark circles40.,General,,
 Curd and Turmeric Face Pack◦Ingredients: Two spoons of,,,"Mix curd and turmeric well and apply it on the face40. Once it dries off after 15 minutes, wash it with warm water40.◦Health Benefits: Helps remove dark spots and bring out skin's natural glow40.Source41 ""Top 4 Natural Remedies to Reduce Cough and Cold in One Day | Health Tips | Easy Home Remedies""","Helps remove dark spots and bring out skin's natural glow40.Source41 ""Top 4 Natural Remedies to Reduce Cough and Cold in One Day | Health Tips | Easy Home Remedies""",General,,
 Kadha Herbal,,"Half teaspoon grated ginger, two to three hand- crushed Tulsi leaves, a pinch of cinnamon powder, a pinch of black pepper powder, one and a half cups of water, optional honey41.◦Preparation: Boil all ingredients in water for 10 to 15 minutes41. Strain the kada and drink it warm41. Add honey if desired41. Drink two to three times a day41.◦Health Benefits: Boosts the immune system and reduces cold and cough symptoms41. Tulsi, ginger, and turmeric are antiviral and help keep diseases at bay28.","Boil all ingredients in water for 10 to 15 minutes41. Strain the kada and drink it warm41. Add honey if desired41. Drink two to three times a day41.◦Health Benefits: Boosts the immune system and reduces cold and cough symptoms41. Tulsi, ginger, and turmeric are antiviral and help keep diseases at bay28.","Boosts the immune system and reduces cold and cough symptoms41. Tulsi, ginger, and turmeric are antiviral and help keep diseases at bay28.",General,,
 Salt Water,,"A teaspoon of salt, a glass of warm water41.◦Preparation: Mix salt in warm water41. Gargle with it for 30 seconds and spit it out41. Do this several times a day41.◦Health Benefits: Soothes a sore throat and reduces inflammation41.",Mix salt in warm water41. Gargle with it for 30 seconds and spit it out41. Do this several times a day41.◦Health Benefits: Soothes a sore throat and reduces inflammation41.,Soothes a sore throat and reduces inflammation41.,General,,
 Warm Water with,,"Warm water, a few drops of lemon Untitled 15 juice41.◦Preparation: Squeeze lemon juice into warm water and drink throughout the day41.◦Health Benefits: Flushes out toxins and boosts the immune system, reduces inflammation41.Source42 ""Top 5 Benefits of Sesame Seed as You Get Older | 3 Sesame Anti Ageing Healthy Recipe""","Squeeze lemon juice into warm water and drink throughout the day41.◦Health Benefits: Flushes out toxins and boosts the immune system, reduces inflammation41.Source42 ""Top 5 Benefits of Sesame Seed as You Get Older | 3 Sesame Anti Ageing Healthy Recipe""","Flushes out toxins and boosts the immune system, reduces inflammation41.Source42 ""Top 5 Benefits of Sesame Seed as You Get Older | 3 Sesame Anti Ageing Healthy Recipe""",General,,
 Sesame Thill),,"1 cup sesame seeds, 1 cup deseeded dates, half cup milk, 1 teaspoon ghee42.◦Preparation: Roast sesame seeds on slow fire until light brown42. Blend date and milk to make a thick paste42. Mix sesame seeds, date paste, and ghee42. Roll small portions into round balls42.◦Health Benefits: Rejuvenating, makes person physically stronger (calcium for bones, muscles, joints), good source of plant-based protein42.","Roast sesame seeds on slow fire until light brown42. Blend date and milk to make a thick paste42. Mix sesame seeds, date paste, and ghee42. Roll small portions into round balls42.◦Health Benefits: Rejuvenating, makes person physically stronger (calcium for bones, muscles, joints), good source of plant-based protein42.","Rejuvenating, makes person physically stronger (calcium for bones, muscles, joints), good source of plant-based protein42.",General,,
 Sesame,,"1 cup oat flour, half cup sesame seed paste, half cup jaggery powder, 1 teaspoon baking powder, half cup curd, 1 teaspoon honey, little salt to taste, milk as required42.◦Preparation: Roast oats flour slightly42. In a mixing bowl, add oats flour, sesame seed paste, jaggery powder, baking powder, curd, and salt42. Add milk to make a pancake batter consistency42. Heat a pan, brush with oil, pour a little batter at a time, and make pancakes on low flame42. Drizzle honey while eating42.◦Health Benefits: Nutritious and energy- providing42.","Roast oats flour slightly42. In a mixing bowl, add oats flour, sesame seed paste, jaggery powder, baking powder, curd, and salt42. Add milk to make a pancake batter consistency42. Heat a pan, brush with oil, pour a little batter at a time, and make pancakes on low flame42. Drizzle honey while eating42.◦Health Benefits: Nutritious and energy- providing42.",Nutritious and energy- providing42.,General,,
 Sesame Seed Chutney◦Ingredients: 3 tbsp roasted,,,"Place sesame seeds and coconut in a blender42. Mix roasted peanut and tamarind, red bell pepper, and salt42. Blend all ingredients into a smooth and fine consistency42.◦Health Benefits: Provides various nutrients42.Source43 ""Top 5 Effective Home Remedies for Loose Motions | Simple Solutions for Diarrhea Relief | Dr. Hansaji""","Provides various nutrients42.Source43 ""Top 5 Effective Home Remedies for Loose Motions | Simple Solutions for Diarrhea Relief | Dr. Hansaji""",General,,
 Black Seeds Kalonji) Oil with,,"Half teaspoon of black seed oil, a teaspoon of honey43.◦Preparation: Mix black seed oil with honey and consume it twice a day43.◦Health Benefits: Has antimicrobial and anti-inflammatory properties, soothes the digestive system, and promotes healing43.","Mix black seed oil with honey and consume it twice a day43.◦Health Benefits: Has antimicrobial and anti-inflammatory properties, soothes the digestive system, and promotes healing43.","Has antimicrobial and anti-inflammatory properties, soothes the digestive system, and promotes healing43.",General,,
 Musta,,"One teaspoon full of musta powder, a glass of warm water43.◦Preparation: Mix musta powder with warm water and consume twice a day43.◦Health Benefits: Has anti-diarrheal properties, helps reduce loose motion, and restores balance in the digestive system43.","Mix musta powder with warm water and consume twice a day43.◦Health Benefits: Has anti-diarrheal properties, helps reduce loose motion, and restores balance in the digestive system43.","Has anti-diarrheal properties, helps reduce loose motion, and restores balance in the digestive system43.",General,,
 Buttermilk,,"A glass of buttermilk, a teaspoon full of fenugreek seeds43.◦Preparation: Add fenugreek seeds to buttermilk and let it sit for a few hours43. Drink this mixture a few times a day43.◦Health Untitled 16 Benefits: Buttermilk (probiotic-rich) restores the balance of gut bacteria43. Fenugreek seeds help regulate bowel movements43.",Add fenugreek seeds to buttermilk and let it sit for a few hours43. Drink this mixture a few times a day43.◦Health Untitled 16 Benefits: Buttermilk (probiotic-rich) restores the balance of gut bacteria43. Fenugreek seeds help regulate bowel movements43.,,General,,
,,Pomegranate43.◦Preparation: Eat one pomegranate daily until symptoms reduce43.◦Health Benefits: Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion43.,Eat one pomegranate daily until symptoms reduce43.◦Health Benefits: Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion43.,Has natural astringent properties that can help reduce inflammation in the intestines and provide relief from loose motion43.,General,,
 Rice Water◦Ingredients: Leftover water after,,,"Collect the leftover water after cooking rice, allow it to cool, strain it, and drink it throughout the day43.◦Health Benefits: Helps bind the stool and provides relief from loose motion43.",Helps bind the stool and provides relief from loose motion43.,General,,
 Homemade Oral,,"One liter of boiled clean water, 5 to 6 teaspoon full of salt, 5 to 6 teaspoon full of sugar, optional lemon43.◦Preparation: Add salt and sugar to boiled and cleaned water43. Sip this liquid throughout the day43. Add some lemon for extra benefit43.◦Health Benefits: Replenishes lost fluids and electrolytes, preventing dehydration43.Source44...: ""Top remedies for headaches | Dr. Hansaji Yogendra""","Add salt and sugar to boiled and cleaned water43. Sip this liquid throughout the day43. Add some lemon for extra benefit43.◦Health Benefits: Replenishes lost fluids and electrolytes, preventing dehydration43.Source44...: ""Top remedies for headaches | Dr. Hansaji Yogendra""","Replenishes lost fluids and electrolytes, preventing dehydration43.Source44...: ""Top remedies for headaches | Dr. Hansaji Yogendra""",General,,
" Ginger Green Tea◦Ingredients: Ginger powder, green tea,",,,Prepare a warm ginger green tea45....◦Health Benefits: Ginger helps ease nausea associated with severe migraine and may ease migraine severity45....,Ginger helps ease nausea associated with severe migraine and may ease migraine severity45....,General,,
 Kapala Randhra Dhouti Facial and Head,,,"Rub your forehead with fingers 10 times46. Press eyebrows from center to end until pain disappears46. Move hand around cheeks in and out47. Move hands around ears in and out47. Move fingers into hair and pull hair gently47.◦Health Benefits: Activates facial nerves and supplies proper blood to the brain, relieving headaches46....Source58 ""Yogic Home Remedies for Sore Throat | Dr. Hansaji Yogendra""","Activates facial nerves and supplies proper blood to the brain, relieving headaches46....Source58 ""Yogic Home Remedies for Sore Throat | Dr. Hansaji Yogendra""",General,,
 Tulsi Holy Basil),,"Tulsi leaves58.◦Preparation: Chew a few Tulsi leaves 34 times a day58.◦Health Benefits: Amazing herb with expectorant properties, helps relieve sore throat58.","Chew a few Tulsi leaves 34 times a day58.◦Health Benefits: Amazing herb with expectorant properties, helps relieve sore throat58.","Amazing herb with expectorant properties, helps relieve sore throat58.",General,,
 Giloy Guduchi)◦Ingredients: Giloy stem or,,,"Consume a small piece of Giloy stem or Giloy powder mixed with water58.◦Health Benefits: Excellent anti-inflammatory properties, helps in sore throat58.","Excellent anti-inflammatory properties, helps in sore throat58.",General,,
 Gargling with Warm Salt,,"Warm water, salt58.◦Preparation: Add a little salt to warm water and gargle 23 times a day58.◦Health Benefits: Very effective home remedy for sore throat58.",Add a little salt to warm water and gargle 23 times a day58.◦Health Benefits: Very effective home remedy for sore throat58.,Very effective home remedy for sore throat58.,General,,
 Mulethi Licorice)◦Ingredients: Mulethi,,,Chew on a piece of Mulethi stick or mix Mulethi powder with honey58.◦Health Benefits: Soothes the throat and reduces Untitled 17 inflammation58.,Soothes the throat and reduces Untitled 17 inflammation58.,General,,
 Garlic◦Ingredients: Garlic,,,"Chew one raw garlic clove once or twice a day, or suck on it for 5 minutes58. Can put a few drops of honey on it if too pungent58.◦Health Benefits: Possesses antibacterial, antifungal, and antiviral properties, provides relief from sore throat58.","Possesses antibacterial, antifungal, and antiviral properties, provides relief from sore throat58.",General,,
,,"Honey58.◦Preparation: Put a few drops of honey in the mouth and swallow slowly58.◦Health Benefits: Excellent source for sore throat, very soothing58.","Put a few drops of honey in the mouth and swallow slowly58.◦Health Benefits: Excellent source for sore throat, very soothing58.","Excellent source for sore throat, very soothing58.",General,,
